fecha,año,semana_epidemiologica,casos_dengue,temp,temp_max,temp_min,hum_esp,hum_rel,prec,dias_lluvia,vel_vi,vel_vi_max,vel_vi_min,uv
2021-01-02,2020,53,0,27.91,34.175,23.61,17.3,76.1,15.709999999999999,2,0.12000000000000001,0.235,0.03,2.33
2021-01-09,2021,1,1,28.252857142857145,34.2,23.832857142857144,16.30857142857143,70.50857142857143,5.720000000000001,1,0.12142857142857144,0.24428571428571427,0.047142857142857146,2.222857142857143
2021-01-16,2021,2,0,28.687142857142856,34.910000000000004,24.195714285714285,17.318571428571428,72.88571428571429,19.15,5,0.11714285714285715,0.20857142857142857,0.038571428571428576,2.254285714285714
2021-01-23,2021,3,0,29.592857142857145,36.37285714285714,24.09,16.11285714285714,65.12285714285714,0.77,0,0.12428571428571429,0.22571428571428573,0.045714285714285714,2.4200000000000004
2021-01-30,2021,4,1,29.189999999999998,35.978571428571435,24.2,16.51142857142857,68.06857142857143,12.92,4,0.12285714285714286,0.22,0.03571428571428571,2.4771428571428573
2021-02-06,2021,5,1,29.454285714285714,35.88285714285714,24.684285714285714,17.427142857142858,70.10571428571428,17.939999999999998,3,0.12,0.22142857142857145,0.03,2.29
2021-02-13,2021,6,2,29.86285714285714,36.214285714285715,25.01142857142857,16.515714285714285,65.16142857142857,13.17,1,0.1285714285714286,0.27571428571428575,0.04428571428571428,2.144285714285714
2021-02-20,2021,7,1,28.888571428571428,35.214285714285715,24.24142857142857,16.46857142857143,68.82857142857144,12.8,3,0.13,0.25,0.048571428571428564,2.355714285714286
2021-02-27,2021,8,0,30.425714285714285,37.58857142857143,24.681428571428572,16.080000000000002,62.26857142857143,2.09,0,0.12428571428571429,0.25142857142857145,0.03571428571428571,2.1228571428571428
2021-03-06,2021,9,1,29.217142857142857,35.84428571428571,23.867142857142856,15.078571428571427,62.567142857142855,9.83,2,0.14142857142857143,0.2642857142857143,0.055714285714285716,2.1557142857142857
2021-03-13,2021,10,0,28.815714285714286,34.60142857142857,24.41142857142857,15.717142857142857,65.66571428571429,0.16,0,0.1285714285714286,0.2642857142857143,0.04285714285714286,2.1542857142857144
2021-03-20,2021,11,0,28.868571428571425,33.964285714285715,24.854285714285712,16.03,66.14571428571428,0.8800000000000001,0,0.12285714285714286,0.22571428571428573,0.04857142857142858,2.1228571428571428
2021-03-27,2021,12,0,29.678571428571427,35.07714285714285,25.154285714285713,15.332857142857142,60.71857142857142,0.17,0,0.12571428571428572,0.25285714285714284,0.045714285714285714,2.1414285714285715
2021-04-03,2021,13,1,31.541428571428572,36.74714285714286,26.91857142857143,15.76,55.90428571428571,0.66,0,0.1142857142857143,0.19714285714285712,0.038571428571428576,2.2085714285714286
2021-04-10,2021,14,0,29.198571428571427,33.54714285714285,25.458571428571425,16.554285714285715,66.94428571428571,5.0200000000000005,2,0.13285714285714287,0.23857142857142857,0.049999999999999996,2.0685714285714285
2021-04-17,2021,15,0,28.125714285714285,32.27857142857143,25.077142857142857,17.905714285714286,76.16285714285713,44.54,5,0.12285714285714286,0.21857142857142858,0.05714285714285715,2.1514285714285717
2021-04-24,2021,16,0,29.19,34.70428571428572,25.035714285714285,17.534285714285712,71.28714285714285,17.76,1,0.12714285714285714,0.2542857142857143,0.04428571428571428,2.218571428571429
2021-05-01,2021,17,1,29.037142857142857,34.357142857142854,25.041428571428572,16.514285714285712,67.49285714285715,1.4600000000000002,1,0.13571428571428573,0.23142857142857146,0.06857142857142857,2.1514285714285717
2021-05-08,2021,18,0,28.542857142857144,33.46,24.732857142857142,16.275714285714287,68.65857142857143,1.4600000000000002,1,0.11714285714285715,0.2342857142857143,0.037142857142857144,2.5
2021-05-15,2021,19,3,31.24142857142857,37.85142857142857,26.074285714285715,16.87142857142857,62.098571428571425,0.0,0,0.11285714285714286,0.23285714285714285,0.02,2.5042857142857144
2021-05-22,2021,20,0,30.065714285714286,34.40714285714286,26.412857142857142,16.997142857142858,65.11285714285715,0.14,0,0.11714285714285715,0.23714285714285713,0.027142857142857142,2.185714285714286
2021-05-29,2021,21,1,29.985714285714288,34.80571428571429,26.334285714285716,17.812857142857144,69.07142857142857,8.75,3,0.11142857142857143,0.19,0.04285714285714286,2.4499999999999997
2021-06-05,2021,22,0,29.25857142857143,33.85142857142857,25.560000000000002,17.234285714285715,69.39142857142858,1.85,1,0.10571428571428572,0.21,0.03,2.314285714285714
2021-06-12,2021,23,1,28.91,33.54714285714285,25.217142857142854,16.62857142857143,68.50857142857143,4.18,2,0.10142857142857142,0.18857142857142858,0.03571428571428571,2.1357142857142857
2021-06-19,2021,24,2,29.725714285714282,34.62714285714286,25.565714285714286,16.352857142857143,64.44000000000001,2.17,1,0.1142857142857143,0.20285714285714285,0.045714285714285714,2.3242857142857143
2021-06-26,2021,25,0,29.207142857142856,34.4,25.140000000000004,15.535714285714286,63.185714285714276,0.85,0,0.12000000000000001,0.19714285714285712,0.045714285714285714,2.3842857142857143
2021-07-03,2021,26,0,29.474285714285713,35.36,25.16857142857143,16.172857142857143,65.54142857142857,11.059999999999999,2,0.12285714285714286,0.22999999999999998,0.039999999999999994,2.4257142857142857
2021-07-10,2021,27,0,30.25142857142857,36.56,25.665714285714284,16.59,64.65142857142857,5.720000000000001,2,0.10857142857142857,0.2057142857142857,0.032857142857142856,2.62
2021-07-17,2021,28,0,30.381428571428575,36.402857142857144,25.775714285714287,16.565714285714286,63.64714285714285,12.8,2,0.11714285714285715,0.21714285714285714,0.025714285714285714,2.412857142857143
2021-07-24,2021,29,3,31.35,37.44857142857143,26.52,17.07857142857143,62.89857142857143,9.5,3,0.1142857142857143,0.21285714285714286,0.04,2.3785714285714286
2021-07-31,2021,30,0,29.47,35.58714285714286,24.875714285714285,16.43,67.11999999999999,12.98,2,0.13142857142857142,0.24571428571428572,0.04285714285714286,2.1214285714285714
2021-08-07,2021,31,0,29.364285714285717,34.99857142857143,25.562857142857144,16.655714285714286,67.45142857142856,7.37,4,0.12285714285714286,0.2414285714285714,0.03428571428571429,2.605714285714286
2021-08-14,2021,32,2,29.678571428571427,34.681428571428576,25.7,16.234285714285715,64.21142857142857,0.3,0,0.12,0.20285714285714285,0.04285714285714286,2.6271428571428572
2021-08-21,2021,33,4,27.764285714285712,32.84285714285714,24.228571428571428,16.65,73.39285714285714,31.21,4,0.1285714285714286,0.24714285714285714,0.028571428571428574,2.6757142857142857
2021-08-28,2021,34,5,27.46857142857143,31.958571428571425,24.367142857142856,17.607142857142858,78.20142857142856,29.68,4,0.12142857142857143,0.20714285714285713,0.049999999999999996,2.358571428571428
2021-09-04,2021,35,7,29.282857142857146,35.39142857142857,24.859999999999996,16.572857142857142,67.33285714285714,8.62,4,0.12714285714285714,0.22999999999999998,0.038571428571428576,2.3099999999999996
2021-09-11,2021,36,6,28.908571428571427,34.57285714285714,24.897142857142857,16.31714285714286,67.67571428571429,16.04,2,0.1457142857142857,0.2871428571428572,0.03571428571428571,2.424285714285714
2021-09-18,2021,37,3,28.697142857142858,34.31428571428571,24.77857142857143,17.31714285714286,72.55142857142857,29.96,5,0.13285714285714287,0.23142857142857146,0.05,2.422857142857143
2021-09-25,2021,38,2,27.804285714285715,32.50714285714286,24.610000000000003,17.702857142857145,77.41428571428571,22.200000000000003,3,0.12428571428571429,0.22428571428571425,0.032857142857142856,2.5085714285714285
2021-10-02,2021,39,6,28.134285714285713,32.82142857142857,24.854285714285716,17.157142857142855,73.37285714285714,1.8,0,0.11285714285714286,0.2057142857142857,0.045714285714285714,2.3785714285714286
2021-10-09,2021,40,7,27.889999999999997,32.47142857142857,24.804285714285715,18.37,79.2057142857143,68.62,6,0.12714285714285714,0.23714285714285716,0.049999999999999996,2.031428571428571
2021-10-16,2021,41,5,26.785714285714285,30.367142857142856,24.27,18.807142857142857,85.63857142857144,45.96,5,0.14285714285714285,0.2757142857142857,0.030000000000000002,2.1614285714285715
2021-10-23,2021,42,4,26.72,30.185714285714287,24.38714285714286,18.47,84.55428571428571,24.5,4,0.14285714285714285,0.30428571428571427,0.03142857142857143,2.4057142857142857
2021-10-30,2021,43,11,26.31714285714286,29.672857142857143,23.889999999999997,18.882857142857144,88.3157142857143,63.06,6,0.1442857142857143,0.3085714285714286,0.03571428571428571,2.2671428571428573
2021-11-06,2021,44,4,26.064285714285713,29.73857142857143,23.35571428571429,17.99857142857143,85.7,15.67,4,0.14857142857142858,0.31285714285714283,0.04,2.317142857142857
2021-11-13,2021,45,12,27.545714285714286,31.877142857142854,24.484285714285715,18.264285714285716,80.34285714285714,2.89,1,0.1357142857142857,0.23,0.055714285714285716,2.1342857142857143
2021-11-20,2021,46,9,28.487142857142857,33.628571428571426,24.568571428571428,17.78,74.74571428571429,7.21,4,0.13428571428571429,0.24000000000000002,0.06,2.077142857142857
2021-11-27,2021,47,11,26.004285714285714,28.585714285714285,24.027142857142856,18.71,88.88142857142857,40.56,4,0.13428571428571429,0.25857142857142856,0.060000000000000005,1.9742857142857144
2021-12-04,2021,48,14,26.72142857142857,30.647142857142857,23.835714285714285,18.694285714285716,85.69857142857143,47.28,5,0.1285714285714286,0.2757142857142857,0.03,2.045714285714286
2021-12-11,2021,49,5,28.16142857142857,33.05714285714286,24.45285714285714,18.002857142857145,76.48428571428572,2.75,1,0.1142857142857143,0.22571428571428573,0.022857142857142857,2.072857142857143
2021-12-18,2021,50,8,26.845714285714283,30.974285714285713,23.822857142857142,17.67142857142857,80.73857142857142,15.110000000000001,4,0.12714285714285714,0.28285714285714286,0.015714285714285715,2.0185714285714282
2021-12-25,2021,51,15,26.731428571428573,31.099999999999998,23.71857142857143,17.704285714285714,81.42,8.91,3,0.12714285714285714,0.2414285714285714,0.04142857142857143,2.0785714285714287
2022-01-01,2021,52,4,27.782857142857143,32.91285714285714,24.068571428571428,17.91142857142857,78.1557142857143,26.89,4,0.11,0.22571428571428573,0.017142857142857144,2.012857142857143
2022-01-08,2022,1,4,28.222857142857144,34.212857142857146,23.69142857142857,16.327142857142857,70.96142857142857,12.040000000000001,3,0.12142857142857143,0.24285714285714285,0.024285714285714282,2.012857142857143
2022-01-15,2022,2,5,27.181428571428572,32.892857142857146,23.025714285714287,15.877142857142857,72.93857142857142,13.340000000000002,2,0.11571428571428573,0.2285714285714286,0.027142857142857142,1.912857142857143
2022-01-22,2022,3,3,29.255714285714284,35.46142857142858,24.594285714285714,16.658571428571427,68.00428571428571,1.86,1,0.11142857142857143,0.22142857142857145,0.03142857142857143,2.0442857142857145
2022-01-29,2022,4,12,29.259999999999998,35.94285714285714,24.34142857142857,16.085714285714285,66.10857142857142,1.92,0,0.13571428571428573,0.26571428571428574,0.06999999999999999,2.2857142857142856
2022-02-05,2022,5,11,29.164285714285715,36.33,23.701428571428572,15.247142857142858,63.79,4.470000000000001,2,0.13428571428571429,0.27142857142857146,0.04285714285714286,2.2514285714285713
2022-02-12,2022,6,13,28.481428571428573,34.85285714285714,23.94142857142857,16.584285714285716,71.15571428571428,21.97,4,0.13,0.24,0.05285714285714286,1.9385714285714286
2022-02-19,2022,7,9,29.53142857142857,36.13285714285714,24.650000000000002,16.454285714285714,66.83142857142857,9.14,4,0.13142857142857142,0.25,0.032857142857142856,2.0028571428571427
2022-02-26,2022,8,6,29.71857142857143,37.042857142857144,23.882857142857144,14.954285714285716,60.99428571428571,4.46,2,0.13714285714285715,0.2885714285714286,0.05,2.2357142857142858
2022-03-05,2022,9,12,27.572857142857142,32.395714285714284,24.23,17.79,78.71000000000001,43.28,7,0.12285714285714286,0.23285714285714287,0.051428571428571435,2.012857142857143
2022-03-12,2022,10,6,27.330000000000002,31.97142857142857,23.964285714285715,17.472857142857144,78.13,65.04,5,0.13714285714285715,0.2814285714285715,0.047142857142857146,2.4185714285714286
2022-03-19,2022,11,6,29.044285714285714,35.22857142857143,24.517142857142858,17.431428571428572,71.83285714285714,15.020000000000001,5,0.13714285714285715,0.30142857142857143,0.04142857142857143,2.4657142857142857
2022-03-26,2022,12,9,29.048571428571428,34.97714285714286,24.67142857142857,17.86714285714286,73.31428571428572,22.98,7,0.13,0.27999999999999997,0.037142857142857144,2.2885714285714287
2022-04-02,2022,13,8,27.011428571428574,31.455714285714286,24.189999999999998,18.66857142857143,84.41428571428571,57.97,7,0.12428571428571429,0.21285714285714286,0.045714285714285714,2.2471428571428573
2022-04-09,2022,14,15,26.57428571428571,29.735714285714288,24.527142857142856,19.60571428571429,89.93857142857144,93.74000000000001,7,0.13857142857142857,0.2671428571428572,0.04,2.222857142857143
2022-04-16,2022,15,14,27.877142857142854,32.04857142857143,24.978571428571428,19.535714285714285,83.55428571428571,28.57,6,0.13571428571428573,0.32,0.03,2.15
2022-04-23,2022,16,10,26.164285714285715,29.301428571428573,23.694285714285716,18.594285714285714,87.76142857142858,97.65,7,0.16142857142857145,0.3685714285714286,0.04285714285714286,2.4214285714285713
2022-04-30,2022,17,14,26.127142857142854,29.02285714285714,23.895714285714288,19.351428571428574,91.07571428571428,70.14,7,0.17142857142857143,0.42857142857142855,0.02,2.61
2022-05-07,2022,18,14,26.537142857142857,29.284285714285716,24.34857142857143,19.835714285714285,91.06714285714285,44.11,5,0.16571428571428573,0.39142857142857146,0.022857142857142857,2.3314285714285714
2022-05-14,2022,19,5,26.46,28.98857142857143,24.397142857142857,19.93,91.86714285714285,97.88,6,0.17142857142857143,0.4185714285714286,0.037142857142857144,2.61
2022-05-21,2022,20,19,26.692857142857143,30.06714285714286,24.48,19.825714285714287,90.4557142857143,37.660000000000004,6,0.13857142857142857,0.31428571428571433,0.03428571428571429,2.572857142857143
2022-05-28,2022,21,11,26.322857142857142,28.905714285714286,24.080000000000002,19.740000000000002,91.67142857142858,69.08000000000001,7,0.2057142857142857,0.4785714285714286,0.03571428571428571,2.2785714285714285
2022-06-04,2022,22,17,25.95,28.935714285714287,23.737142857142857,19.225714285714282,91.44571428571429,93.05000000000001,7,0.16428571428571428,0.41000000000000003,0.02142857142857143,2.312857142857143
2022-06-11,2022,23,11,25.65857142857143,28.307142857142857,23.72,19.114285714285717,92.41857142857143,37.15,7,0.14285714285714285,0.3071428571428571,0.04142857142857143,2.222857142857143
2022-06-18,2022,24,19,25.37142857142857,27.745714285714286,23.554285714285715,19.11285714285714,93.89999999999999,112.12,7,0.16,0.3871428571428571,0.04142857142857143,2.2214285714285715
2022-06-25,2022,25,12,25.97142857142857,28.504285714285714,24.00857142857143,19.59857142857143,92.88571428571429,20.43,7,0.15285714285714286,0.3757142857142857,0.025714285714285714,2.1128571428571425
2022-07-02,2022,26,21,25.53857142857143,28.009999999999998,23.68285714285714,19.09714285714286,92.95142857142856,34.74,7,0.15571428571428572,0.39428571428571424,0.025714285714285714,2.1128571428571425
